dataset,station,component,method,peak_time,score,floor_detect,floor_signif,significant
ingv,ECPN,mag,stack,2022-12-10 09:17:49,0.3634,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-10 11:52:21,0.3704,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-10 21:11:25,0.3892,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-12 09:34:14,0.3643,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-13 08:05:18,0.3759,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-15 12:23:44,0.3689,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-15 17:03:53,0.3738,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-16 23:09:27,0.3721,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-18 03:54:42,0.3953,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-18 10:57:13,0.3698,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-19 04:59:59,0.3934,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-22 20:32:51,0.418,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-22 21:40:00,0.3953,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-23 02:53:45,0.3818,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-23 11:46:24,0.4078,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-24 11:20:17,0.3732,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-24 18:45:11,0.3774,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-25 02:35:17,0.3916,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-25 09:35:24,0.365,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-25 11:28:56,0.3714,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-25 14:45:52,0.3686,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-25 15:49:30,0.4095,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-25 23:09:59,0.3902,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-26 01:09:20,0.3661,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-26 17:58:14,0.3904,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-26 19:12:50,0.3707,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-27 12:04:50,0.4018,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-27 20:57:18,0.394,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-28 03:58:08,0.3842,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-28 23:59:09,0.3823,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-29 03:28:54,0.3714,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-29 04:41:39,0.3661,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-29 08:58:28,0.3738,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-29 13:51:37,0.42,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-30 09:30:35,0.3876,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-30 15:28:33,0.4093,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-30 16:31:02,0.3768,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-30 18:00:43,0.3688,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-30 19:34:39,0.4136,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-31 09:06:55,0.3838,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-31 11:08:55,0.4451,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-31 16:03:46,0.3653,0.363,0.372,False
ingv,ECPN,mag,stack,2022-12-31 18:35:49,0.3817,0.363,0.372,True
ingv,ECPN,mag,stack,2022-12-31 19:43:08,0.3757,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-01 05:46:38,0.4096,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-01 16:40:23,0.3786,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-01 23:10:04,0.4086,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-02 01:25:08,0.3854,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-02 06:05:17,0.3725,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-02 14:26:18,0.3897,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-03 09:22:24,0.3739,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-03 22:38:17,0.4018,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-04 02:01:09,0.3919,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-04 06:45:31,0.3963,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-04 12:01:03,0.3825,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-04 15:14:07,0.3687,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-05 20:31:11,0.3829,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-05 22:43:42,0.3917,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-06 23:10:49,0.4301,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-07 05:27:11,0.3681,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-07 07:46:55,0.3912,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-07 17:59:36,0.3979,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-09 02:30:40,0.3905,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-10 13:11:34,0.3846,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-10 15:37:47,0.3947,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-10 17:36:40,0.3765,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-10 21:10:26,0.3727,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-11 00:03:49,0.382,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-11 03:03:23,0.4075,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-11 20:41:11,0.3847,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-12 01:38:25,0.3946,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-12 02:37:55,0.4314,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-12 19:38:30,0.4124,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-13 02:52:16,0.3954,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-13 14:49:07,0.3657,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-13 19:44:58,0.4323,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-14 01:38:48,0.407,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-14 18:46:24,0.371,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-15 15:48:31,0.4012,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-15 16:54:38,0.3774,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-15 20:08:24,0.3773,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-16 14:47:29,0.3745,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-16 19:14:48,0.3828,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-17 13:50:36,0.364,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-18 22:30:16,0.3758,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-19 10:45:13,0.3667,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-19 12:20:15,0.3645,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-21 13:13:56,0.4052,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-21 14:44:09,0.363,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-23 05:30:24,0.3896,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-23 13:58:31,0.3642,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-26 14:27:50,0.3713,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-27 06:49:52,0.3921,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-27 10:37:06,0.377,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-27 16:39:31,0.3776,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-30 22:17:28,0.3633,0.363,0.372,False
ingv,ECPN,mag,stack,2023-01-31 06:41:25,0.3772,0.363,0.372,True
ingv,ECPN,mag,stack,2023-01-31 15:30:13,0.3636,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-01 13:16:26,0.3939,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-01 20:45:41,0.3705,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-03 02:05:06,0.3893,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-03 16:28:32,0.3632,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-04 07:13:35,0.4344,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-04 22:17:07,0.387,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-06 23:48:09,0.4141,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-07 09:35:23,0.4082,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-07 15:38:13,0.3955,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-07 22:58:25,0.3822,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-08 03:37:47,0.3665,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-08 07:31:44,0.3774,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-08 21:56:24,0.3669,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-10 18:44:54,0.4275,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-10 19:50:34,0.3727,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-10 22:34:42,0.3794,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-11 06:52:45,0.3677,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 00:07:39,0.3673,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 01:13:46,0.388,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-12 03:25:10,0.3897,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-12 09:22:53,0.4206,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-12 10:45:55,0.3662,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 19:14:04,0.3697,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-12 21:53:00,0.3691,0.363,0.372,False
ingv,ECPN,mag,stack,2023-02-13 06:19:11,0.4082,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-13 18:01:40,0.386,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-13 23:30:28,0.3922,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-14 17:12:51,0.3747,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-15 01:18:33,0.382,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-15 02:41:17,0.388,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-15 11:22:03,0.3953,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-16 12:50:13,0.3976,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-16 23:32:12,0.388,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-17 06:12:32,0.3808,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-17 21:19:55,0.4029,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-17 22:57:51,0.3987,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-18 17:11:02,0.3966,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-19 14:02:58,0.3725,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-19 15:24:45,0.3889,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-21 03:58:11,0.3951,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-21 08:16:31,0.3782,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-21 18:43:22,0.3927,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-22 16:28:05,0.3861,0.363,0.372,True
ingv,ECPN,mag,stack,2023-02-23 18:26:40,0.3684,0.363,0.372,False
ingv,EEC1,mag,max,2022-11-15 07:40:14,0.5086,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-15 23:23:37,0.5332,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-16 04:09:17,0.6346,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-16 12:36:33,0.5377,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-16 20:19:51,0.535,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-17 03:16:56,0.506,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-17 17:18:14,0.5542,0.504,0.536,True
ingv,EEC1,mag,max,2022-11-17 19:19:51,0.521,0.504,0.536,False
ingv,EEC1,mag,max,2022-11-18 07:11:17,0.543,0.504,0.536,True
