dataset,station,component,configuration,template,r,snr_db,snr_lin
ingv,ECPN,dir,sim1,template1,0.5204,0.054,1.0062
ingv,ECPN,dir,sim1,template1,0.4934,-1.906,0.803
ingv,ECPN,dir,sim1,template1,0.493,-1.535,0.838
ingv,ECPN,dir,sim1,template1,0.5655,-0.84,0.9078
ingv,ECPN,dir,sim1,template1,0.5396,-0.923,0.8992
ingv,ECPN,dir,sim1,template1,0.4936,-2.038,0.7908
ingv,ECPN,dir,sim1,template1,0.5393,1.36,1.1695
ingv,ECPN,dir,sim1,template1,0.5523,-1.641,0.8278
ingv,ECPN,dir,sim1,template1,0.5112,0.249,1.029
ingv,ECPN,dir,sim1,template1,0.5088,-2.076,0.7874
ingv,ECPN,dir,sim1,template1,0.4927,-0.624,0.9307
ingv,ECPN,dir,sim1,template1,0.5214,1.289,1.16
ingv,ECPN,dir,sim1,template1,0.5216,-0.65,0.9279
ingv,ECPN,dir,sim1,template1,0.5606,0.241,1.0281
ingv,ECPN,dir,sim1,template1,0.496,1.739,1.2216
ingv,ECPN,dir,sim1,template1,0.5165,-2.149,0.7808
ingv,ECPN,dir,sim1,template1,0.5725,-0.035,0.996
ingv,ECPN,dir,sim1,template1,0.5078,0.546,1.0649
ingv,ECPN,dir,sim1,template1,0.5288,1.426,1.1784
ingv,ECPN,dir,sim1,template1,0.5169,-2.814,0.7233
ingv,ECPN,dir,sim1,template1,0.5024,-0.585,0.9349
ingv,ECPN,dir,sim1,template1,0.5868,2.424,1.3219
ingv,ECPN,dir,sim1,template2,0.5169,-2.742,0.7293
ingv,ECPN,dir,sim1,template2,0.5998,-2.051,0.7897
ingv,ECPN,dir,sim1,template2,0.5162,1.12,1.1377
ingv,ECPN,dir,sim1,template2,0.5119,-4.51,0.5949
ingv,ECPN,dir,sim1,template2,0.5182,-1.292,0.8618
ingv,ECPN,dir,sim1,template2,0.5118,-2.22,0.7744
ingv,ECPN,dir,sim1,template2,0.5056,1.352,1.1684
ingv,ECPN,dir,sim1,template2,0.5051,1.448,1.1814
ingv,ECPN,dir,sim1,template2,0.504,0.103,1.0119
ingv,ECPN,dir,sim1,template2,0.5095,3.545,1.504
ingv,ECPN,dir,sim1,template2,0.5676,1.481,1.186
ingv,ECPN,dir,sim1,template2,0.5014,0.726,1.0872
ingv,ECPN,dir,sim1,template2,0.5066,-6.13,0.4938
ingv,ECPN,dir,sim1,template2,0.5063,1.309,1.1626
ingv,ECPN,dir,sim1,template2,0.5378,-6.275,0.4856
ingv,ECPN,dir,sim1,template2,0.5055,2.209,1.2896
ingv,ECPN,dir,sim1,template2,0.5185,0.892,1.1082
ingv,ECPN,dir,sim1,template2,0.5531,-0.058,0.9933
ingv,ECPN,dir,sim1,template3,0.5572,-2.175,0.7785
ingv,ECPN,dir,sim1,template3,0.5281,3.927,1.5717
ingv,ECPN,dir,sim1,template3,0.5244,-1.523,0.8391
ingv,ECPN,dir,sim1,template3,0.5575,-4.922,0.5674
ingv,ECPN,dir,sim1,template3,0.5439,-1.987,0.7955
ingv,ECPN,dir,sim1,template3,0.5243,-0.595,0.9337
ingv,ECPN,dir,sim1,template3,0.5278,-1.788,0.8139
ingv,ECPN,dir,sim1,template3,0.5841,8.38,2.6241
ingv,ECPN,dir,sim1,template3,0.5232,-1.419,0.8493
ingv,ECPN,dir,sim1,template3,0.5414,-0.739,0.9184
ingv,ECPN,dir,sim1,template3,0.5487,1.769,1.2258
ingv,ECPN,dir,sim1,template3,0.5674,0.328,1.0385
ingv,ECPN,dir,sim1,template3,0.5364,-0.133,0.9849
ingv,ECPN,dir,sim1,template3,0.5256,1.597,1.2018
ingv,ECPN,dir,sim1,template3,0.5723,2.326,1.3071
ingv,ECPN,dir,sim1,template3,0.5771,1.5,1.1885
ingv,ECPN,dir,sim1,template3,0.5495,-3.562,0.6636
ingv,ECPN,dir,sim1,template3,0.5422,-0.003,0.9996
ingv,ECPN,dir,sim1,template3,0.5288,-3.304,0.6836
ingv,ECPN,dir,sim1,template3,0.5316,-1.101,0.8809
ingv,ECPN,dir,sim1,template3,0.5429,-8.806,0.3628
ingv,ECPN,dir,sim1,template3,0.5266,-1.801,0.8128
ingv,ECPN,dir,sim1,template3,0.5441,0.554,1.0658
ingv,ECPN,dir,sim1,template3,0.6,-8.813,0.3625
ingv,ECPN,dir,sim1,template3,0.527,-2.664,0.7358
ingv,ECPN,dir,sim1,template3,0.5839,1.852,1.2376
ingv,ECPN,dir,sim1,template3,0.6032,0.299,1.035
ingv,ECPN,dir,sim1,template3,0.5626,-0.049,0.9944
ingv,ECPN,dir,sim1,template3,0.5383,-1.048,0.8863
ingv,ECPN,dir,sim1,template3,0.5757,1.2,1.1482
ingv,ECPN,dir,sim1,template3,0.5506,-0.476,0.9467
ingv,ECPN,dir,sim1,template3,0.5377,-1.827,0.8103
ingv,ECPN,dir,sim1,template3,0.6558,-0.147,0.9832
ingv,ECPN,dir,sim1,template4,0.2817,-0.673,0.9254
ingv,ECPN,dir,sim1,template4,0.2796,3.276,1.4582
ingv,ECPN,dir,sim1,template4,0.2992,-0.997,0.8916
ingv,ECPN,dir,sim1,template4,0.2816,0.363,1.0426
ingv,ECPN,dir,sim1,template4,0.289,0.839,1.1014
ingv,ECPN,dir,sim1,template4,0.2964,-0.263,0.9701
ingv,ECPN,dir,sim1,template4,0.2952,1.403,1.1754
ingv,ECPN,dir,sim1,template4,0.2941,1.276,1.1582
ingv,ECPN,dir,sim1,template4,0.2957,-0.71,0.9216
ingv,ECPN,dir,sim1,template4,0.3185,2.961,1.4062
ingv,ECPN,dir,sim1,template4,0.2873,0.456,1.054
ingv,ECPN,dir,sim1,template4,0.3114,1.361,1.1696
ingv,ECPN,dir,sim1,template4,0.2811,2.289,1.3015
ingv,ECPN,dir,sim1,template4,0.2976,-0.029,0.9967
ingv,ECPN,dir,sim1,template4,0.2886,3.483,1.4932
ingv,ECPN,dir,sim1,template4,0.2905,-0.791,0.9129
ingv,ECPN,dir,sim1,template4,0.3036,-1.518,0.8396
ingv,ECPN,dir,sim1,template4,0.2824,0.086,1.01
ingv,ECPN,dir,sim1,template4,0.291,0.751,1.0902
ingv,ECPN,dir,sim1,template4,0.3337,-1.093,0.8817
ingv,ECPN,dir,sim1,template4,0.3166,0.282,1.033
ingv,ECPN,dir,sim1,template4,0.3409,2.255,1.2964
ingv,ECPN,dir,sim1,template4,0.3367,-0.97,0.8944
ingv,ECPN,dir,sim1,template4,0.3067,-2.484,0.7513
ingv,ECPN,dir,sim1,template4,0.3285,-1.074,0.8837
ingv,ECPN,dir,sim1,template4,0.2843,0.592,1.0706
ingv,ECPN,dir,sim1,template4,0.3026,1.676,1.2128
ingv,ECPN,dir,sim1,template4,0.2818,1.02,1.1246
ingv,ECPN,dir,sim1,template4,0.2881,-0.291,0.967
ingv,ECPN,dir,sim1,template4,0.2888,-1.797,0.8131
ingv,ECPN,dir,sim1,template4,0.2834,-0.436,0.9511
ingv,ECPN,dir,sim1,template4,0.2995,-0.58,0.9354
ingv,ECPN,dir,sim1,template4,0.328,-0.488,0.9454
ingv,ECPN,dir,sim1,template4,0.2877,1.046,1.128
ingv,ECPN,dir,sim2,template1,0.5711,-1.543,0.8372
ingv,ECPN,dir,sim2,template1,0.5647,-0.206,0.9765
ingv,ECPN,dir,sim2,template1,0.5305,0.278,1.0325
ingv,ECPN,dir,sim2,template1,0.5325,1.047,1.128
ingv,ECPN,dir,sim2,template1,0.5323,2.131,1.278
ingv,ECPN,dir,sim2,template1,0.5485,0.791,1.0953
ingv,ECPN,dir,sim2,template1,0.5563,1.901,1.2447
ingv,ECPN,dir,sim2,template1,0.6418,3.075,1.4248
ingv,ECPN,dir,sim2,template1,0.5414,-5.189,0.5502
ingv,ECPN,dir,sim2,template1,0.56,1.908,1.2457
ingv,ECPN,dir,sim2,template1,0.5411,-0.538,0.94
ingv,ECPN,dir,sim2,template1,0.5364,-1.611,0.8307
ingv,ECPN,dir,sim2,template1,0.5488,9.338,2.9302
ingv,ECPN,dir,sim2,template1,0.5847,1.431,1.1791
ingv,ECPN,dir,sim2,template1,0.5607,0.983,1.1198
ingv,ECPN,dir,sim2,template1,0.5663,0.185,1.0215
ingv,ECPN,dir,sim2,template1,0.5709,1.462,1.1832
ingv,ECPN,dir,sim2,template1,0.5507,-1.053,0.8859
ingv,ECPN,dir,sim2,template1,0.6074,-1.769,0.8157
ingv,ECPN,dir,sim2,template1,0.5536,3.492,1.4949
ingv,ECPN,dir,sim2,template1,0.5737,-0.004,0.9995
ingv,ECPN,dir,sim2,template1,0.5731,-4.579,0.5903
ingv,ECPN,dir,sim2,template1,0.5738,0.03,1.0035
ingv,ECPN,dir,sim2,template1,0.5679,-0.571,0.9364
ingv,ECPN,dir,sim2,template1,0.5719,0.521,1.0618
ingv,ECPN,dir,sim2,template1,0.5711,-0.041,0.9952
ingv,ECPN,dir,sim2,template1,0.5514,1.796,1.2298
ingv,ECPN,dir,sim2,template1,0.5908,-0.638,0.9292
ingv,ECPN,dir,sim2,template1,0.5847,-0.502,0.9438
ingv,ECPN,dir,sim2,template1,0.5345,-0.096,0.989
ingv,ECPN,dir,sim2,template1,0.55,-5.091,0.5565
ingv,ECPN,dir,sim2,template1,0.5579,0.878,1.1064
ingv,ECPN,dir,sim2,template1,0.5527,0.877,1.1063
ingv,ECPN,dir,sim2,template1,0.5775,0.322,1.0378
ingv,ECPN,dir,sim2,template1,0.5293,2.339,1.309
ingv,ECPN,dir,sim2,template1,0.5529,-0.982,0.8931
ingv,ECPN,dir,sim2,template1,0.5471,0.89,1.1079
ingv,ECPN,dir,sim2,template1,0.5446,0.866,1.1049
ingv,ECPN,dir,sim2,template2,0.5502,1.697,1.2158
ingv,ECPN,dir,sim2,template2,0.5628,0.784,1.0945
ingv,ECPN,dir,sim2,template2,0.5429,0.084,1.0097
ingv,ECPN,dir,sim2,template2,0.5385,0.029,1.0033
ingv,ECPN,dir,sim2,template2,0.5448,0.813,1.0981
ingv,ECPN,dir,sim2,template2,0.5382,-0.15,0.9828
ingv,ECPN,dir,sim2,template2,0.5375,3.383,1.4762
ingv,ECPN,dir,sim2,template2,0.6165,0.525,1.0623
ingv,ECPN,dir,sim2,template2,0.5398,-2.331,0.7646
ingv,ECPN,dir,sim2,template2,0.5414,-2.375,0.7608
ingv,ECPN,dir,sim2,template2,0.5512,0.928,1.1127
ingv,ECPN,dir,sim2,template2,0.5485,-0.421,0.9526
ingv,ECPN,dir,sim2,template2,0.5528,0.631,1.0754
ingv,ECPN,dir,sim2,template2,0.5428,-1.858,0.8074
ingv,ECPN,dir,sim2,template2,0.5539,-0.007,0.9992
ingv,ECPN,dir,sim2,template2,0.5963,0.162,1.0188
ingv,ECPN,dir,sim2,template2,0.5414,-0.054,0.9938
ingv,ECPN,dir,sim2,template2,0.5938,-2.43,0.756
ingv,ECPN,dir,sim2,template2,0.5545,0.539,1.064
ingv,ECPN,dir,sim2,template2,0.5409,3.451,1.4879
ingv,ECPN,dir,sim2,template2,0.5553,2.981,1.4095
ingv,ECPN,dir,sim2,template2,0.5419,-1.163,0.8747
ingv,ECPN,dir,sim2,template2,0.5408,1.261,1.1563
ingv,ECPN,dir,sim2,template2,0.5419,4.925,1.763
ingv,ECPN,dir,sim2,template2,0.5651,-1.093,0.8818
ingv,ECPN,dir,sim2,template2,0.5571,-2.008,0.7936
ingv,ECPN,dir,sim2,template2,0.5465,1.599,1.2021
ingv,ECPN,dir,sim2,template2,0.6394,2.493,1.3324
ingv,ECPN,dir,sim2,template2,0.5421,-2.089,0.7862
ingv,ECPN,dir,sim2,template2,0.5645,-0.044,0.995
ingv,ECPN,dir,sim2,template2,0.5364,0.139,1.0161
ingv,ECPN,dir,sim2,template2,0.556,0.845,1.1021
ingv,ECPN,dir,sim2,template2,0.5775,0.227,1.0265
ingv,ECPN,dir,sim2,template3,0.5707,0.997,1.1217
ingv,ECPN,dir,sim2,template3,0.5448,1.226,1.1516
ingv,ECPN,dir,sim2,template3,0.5066,1.487,1.1867
ingv,ECPN,dir,sim2,template3,0.5515,1.374,1.1715
ingv,ECPN,dir,sim2,template3,0.5754,1.447,1.1813
ingv,ECPN,dir,sim2,template3,0.5889,1.254,1.1553
ingv,ECPN,dir,sim2,template3,0.5055,-0.169,0.9808
ingv,ECPN,dir,sim2,template3,0.5139,3.159,1.4387
ingv,ECPN,dir,sim2,template3,0.5366,0.685,1.0821
ingv,ECPN,dir,sim2,template3,0.5053,-1.279,0.8631
ingv,ECPN,dir,sim2,template3,0.5628,5.064,1.7915
ingv,ECPN,dir,sim2,template3,0.603,-0.98,0.8933
ingv,ECPN,dir,sim2,template3,0.5135,-0.526,0.9412
ingv,ECPN,dir,sim2,template3,0.5398,-0.246,0.972
ingv,ECPN,dir,sim2,template3,0.5198,1.111,1.1365
ingv,ECPN,dir,sim2,template3,0.5705,-1.811,0.8118
ingv,ECPN,dir,sim2,template3,0.5066,-0.656,0.9273
ingv,ECPN,dir,sim2,template3,0.5162,0.062,1.0072
ingv,ECPN,dir,sim2,template3,0.583,2.809,1.3819
ingv,ECPN,dir,sim2,template3,0.5224,0.328,1.0385
ingv,ECPN,dir,sim2,template3,0.5088,-1.94,0.7998
ingv,ECPN,dir,sim2,template3,0.5392,1.434,1.1795
ingv,ECPN,dir,sim2,template3,0.5163,0.799,1.0964
ingv,ECPN,dir,sim2,template3,0.5233,-0.834,0.9084
ingv,ECPN,dir,sim2,template3,0.5433,0.931,1.1131
ingv,ECPN,dir,sim2,template3,0.5334,-0.705,0.922
ingv,ECPN,dir,sim2,template3,0.5907,0.174,1.0202
ingv,ECPN,dir,sim2,template3,0.5086,0.156,1.0181
ingv,ECPN,dir,sim2,template3,0.5123,-0.052,0.9941
ingv,ECPN,dir,sim2,template3,0.5484,0.098,1.0113
ingv,ECPN,dir,sim2,template3,0.5373,1.054,1.129
ingv,ECPN,dir,sim2,template3,0.541,0.182,1.0211
ingv,ECPN,dir,sim2,template3,0.5102,0.226,1.0264
ingv,ECPN,dir,sim2,template3,0.5487,3.836,1.5552
ingv,ECPN,dir,sim2,template3,0.5225,1.069,1.131
ingv,ECPN,dir,sim2,template3,0.5027,-3.354,0.6797
ingv,ECPN,dir,sim2,template3,0.5109,2.985,1.4101
ingv,ECPN,dir,sim2,template3,0.5315,2.743,1.3713
ingv,ECPN,dir,sim2,template3,0.5441,1.374,1.1714
ingv,ECPN,dir,sim2,template3,0.5089,2.327,1.3072
ingv,ECPN,dir,sim2,template3,0.5068,0.339,1.0398
ingv,ECPN,dir,sim2,template3,0.5383,-0.518,0.9421
ingv,ECPN,dir,sim2,template3,0.5081,1.131,1.1391
ingv,ECPN,dir,sim2,template3,0.5231,0.429,1.0506
ingv,ECPN,dir,sim2,template3,0.5093,-1.205,0.8704
ingv,ECPN,dir,sim2,template3,0.5958,0.982,1.1197
ingv,ECPN,dir,sim2,template3,0.5286,-2.097,0.7855
ingv,ECPN,dir,sim2,template3,0.5624,0.009,1.001
ingv,ECPN,dir,sim2,template3,0.5046,0.484,1.0573
ingv,ECPN,dir,sim2,template3,0.5799,0.096,1.0111
ingv,ECPN,dir,sim2,template3,0.5226,2.322,1.3065
ingv,ECPN,dir,sim2,template3,0.6008,2.166,1.2832
ingv,ECPN,dir,sim2,template3,0.5371,-0.498,0.9443
ingv,ECPN,dir,sim2,template3,0.5332,0.407,1.048
ingv,ECPN,dir,sim2,template3,0.5205,-0.02,0.9977
ingv,ECPN,dir,sim2,template3,0.5148,1.756,1.2241
ingv,ECPN,dir,sim2,template3,0.5144,1.623,1.2055
ingv,ECPN,dir,sim2,template3,0.5519,-0.486,0.9456
ingv,ECPN,dir,sim2,template3,0.5055,0.919,1.1116
ingv,ECPN,dir,sim2,template3,0.5552,0.667,1.0798
ingv,ECPN,dir,sim2,template3,0.5454,-0.789,0.9132
ingv,ECPN,dir,sim2,template4,0.3089,-1.15,0.8759
ingv,ECPN,dir,sim2,template4,0.3424,0.313,1.0367
ingv,ECPN,dir,sim2,template4,0.3084,-2.38,0.7603
ingv,ECPN,dir,sim2,template4,0.3925,-0.586,0.9348
ingv,ECPN,dir,sim2,template4,0.3096,-0.074,0.9915
ingv,ECPN,dir,sim2,template4,0.3756,1.19,1.1468
ingv,ECPN,dir,sim2,template4,0.3292,0.661,1.0791
ingv,ECPN,dir,sim2,template4,0.3467,-0.019,0.9978
ingv,ECPN,dir,sim2,template4,0.3465,1.794,1.2294
ingv,ECPN,dir,sim2,template4,0.3372,0.266,1.0311
ingv,ECPN,dir,sim2,template4,0.3237,0.749,1.0901
ingv,ECPN,dir,sim2,template4,0.3111,-1.241,0.8669
ingv,ECPN,dir,sim2,template4,0.3063,1.089,1.1336
ingv,ECPN,dir,sim2,template4,0.3423,-2.428,0.7562
ingv,ECPN,dir,sim2,template4,0.3368,-1.742,0.8183
ingv,ECPN,dir,sim2,template4,0.3518,-0.278,0.9685
ingv,ECPN,dir,sim2,template4,0.3059,2.28,1.3002
ingv,ECPN,dir,sim2,template4,0.3189,-0.089,0.9898
ingv,ECPN,dir,sim2,template4,0.3215,-0.49,0.9452
ingv,ECPN,dir,sim2,template4,0.3512,-0.825,0.9094
ingv,ECPN,dir,sim2,template4,0.3782,2.169,1.2837
ingv,ECPN,dir,sim2,template4,0.3055,-2.493,0.7505
ingv,ECPN,dir,sim2,template4,0.3492,0.174,1.0202
ingv,ECPN,dir,sim2,template4,0.3336,-1.0,0.8912
ingv,ECPN,dir,sim2,template4,0.3235,0.996,1.1215
ingv,ECPN,dir,sim2,template4,0.3274,-0.553,0.9383
ingv,ECPN,dir,sim2,template4,0.3266,-0.936,0.8979
ingv,ECPN,dir,sim2,template4,0.311,0.819,1.0988
ingv,ECPN,dir,sim2,template4,0.3215,0.056,1.0065
ingv,ECPN,dir,sim2,template4,0.3678,0.858,1.1039
ingv,ECPN,dir,sim2,template4,0.3433,0.662,1.0792
ingv,ECPN,dir,sim2,template4,0.3103,-1.313,0.8597
ingv,ECPN,dir,sim2,template4,0.3082,-0.201,0.9771
ingv,ECPN,dir,sim2,template4,0.3066,0.278,1.0325
ingv,ECPN,dir,sim2,template4,0.3205,1.679,1.2133
ingv,ECPN,dir,sim2,template4,0.3087,-0.466,0.9477
ingv,ECPN,dir,sim2,template4,0.3145,0.671,1.0803
ingv,ECPN,dir,sim2,template4,0.332,1.365,1.1702
ingv,ECPN,dir,sim2,template4,0.3163,-0.477,0.9466
ingv,ECPN,dir,sim2,template4,0.3118,-0.394,0.9556
ingv,ECPN,dir,sim2,template4,0.3085,1.717,1.2186
ingv,ECPN,dir,sim2,template4,0.3081,2.46,1.3273
ingv,ECPN,dir,sim2,template4,0.3209,2.254,1.2963
ingv,ECPN,dir,sim2,template4,0.3379,-0.67,0.9257
ingv,ECPN,dir,sim2,template4,0.3179,-0.538,0.9399
ingv,ECPN,dir,sim2,template4,0.3228,1.708,1.2174
ingv,ECPN,dir,sim2,template4,0.3094,-2.883,0.7176
ingv,ECPN,dir,sim2,template4,0.3175,0.409,1.0482
ingv,ECPN,dir,sim2,template4,0.3208,-0.35,0.9605
ingv,ECPN,dir,sim2,template4,0.3145,-0.137,0.9843
ingv,ECPN,dir,sim2,template4,0.3114,-3.638,0.6578
ingv,ECPN,dir,sim2,template4,0.3081,0.876,1.1061
ingv,ECPN,dir,sim2,template4,0.3066,0.416,1.049
ingv,ECPN,dir,sim2,template4,0.3399,-0.354,0.9601
ingv,ECPN,dir,sim2,template4,0.3208,1.145,1.1409
ingv,ECPN,dir,sim2,template4,0.3977,0.528,1.0627
ingv,ECPN,dir,sim2,template4,0.3106,0.072,1.0084
ingv,ECPN,dir,sim2,template4,0.3123,-0.241,0.9726
ingv,ECPN,dir,sim2,template4,0.3108,-0.671,0.9256
ingv,ECPN,dir,sim2,template4,0.3251,-1.079,0.8831
ingv,ECPN,dir,sim2,template4,0.3269,1.171,1.1444
ingv,ECPN,dir,sim2,template4,0.3391,0.249,1.0291
ingv,ECPN,dir,sim2,template4,0.3347,0.524,1.0621
ingv,ECPN,dir,sim2,template4,0.3317,-0.516,0.9423
ingv,ECPN,dir,sim2,template4,0.3221,-0.401,0.9549
ingv,ECPN,dir,sim2,template4,0.3061,-1.658,0.8262
ingv,ECPN,dir,sim2,template4,0.3204,1.216,1.1503
ingv,ECPN,dir,sim2,template4,0.3157,0.795,1.0958
ingv,ECPN,dir,sim2,template4,0.3269,-0.644,0.9285
ingv,ECPN,dir,sim3,template1,0.5678,-0.319,0.9639
ingv,ECPN,dir,sim3,template1,0.6556,1.314,1.1634
ingv,ECPN,dir,sim3,template1,0.5789,4.344,1.649
ingv,ECPN,dir,sim3,template1,0.6688,2.275,1.2995
ingv,ECPN,dir,sim3,template1,0.5774,0.01,1.0011
ingv,ECPN,dir,sim3,template1,0.606,1.274,1.1579
ingv,ECPN,dir,sim3,template1,0.6109,0.582,1.0692
ingv,ECPN,dir,sim3,template1,0.5686,0.794,1.0957
ingv,ECPN,dir,sim3,template1,0.6078,-5.095,0.5563
ingv,ECPN,dir,sim3,template1,0.5663,-0.509,0.9431
ingv,ECPN,dir,sim3,template1,0.58,0.668,1.0799
ingv,ECPN,dir,sim3,template1,0.5876,1.86,1.2388
ingv,ECPN,dir,sim3,template2,0.6416,0.183,1.0213
ingv,ECPN,dir,sim3,template2,0.6222,1.913,1.2464
ingv,ECPN,dir,sim3,template2,0.6158,2.024,1.2625
ingv,ECPN,dir,sim3,template2,0.6588,4.206,1.623
ingv,ECPN,dir,sim3,template2,0.6303,4.672,1.7123
ingv,ECPN,dir,sim3,template2,0.6505,1.699,1.2161
ingv,ECPN,dir,sim3,template2,0.665,1.641,1.2079
ingv,ECPN,dir,sim3,template2,0.6428,1.224,1.1513
ingv,ECPN,dir,sim3,template2,0.6431,-0.067,0.9923
ingv,ECPN,dir,sim3,template2,0.7154,1.841,1.2361
ingv,ECPN,dir,sim3,template3,0.6164,0.192,1.0223
ingv,ECPN,dir,sim3,template3,0.6399,0.811,1.0979
ingv,ECPN,dir,sim3,template3,0.6172,1.843,1.2364
ingv,ECPN,dir,sim3,template3,0.6226,1.11,1.1364
ingv,ECPN,dir,sim3,template3,0.6401,-0.072,0.9917
ingv,ECPN,dir,sim3,template3,0.7373,4.212,1.6241
ingv,ECPN,dir,sim3,template3,0.6305,4.212,1.624
ingv,ECPN,dir,sim3,template3,0.6231,1.51,1.1899
ingv,ECPN,dir,sim3,template3,0.6446,0.576,1.0686
ingv,ECPN,dir,sim3,template3,0.6466,1.216,1.1502
ingv,ECPN,dir,sim3,template3,0.6381,1.003,1.1224
ingv,ECPN,dir,sim3,template3,0.6201,2.405,1.319
ingv,ECPN,dir,sim3,template3,0.6849,1.069,1.131
ingv,ECPN,dir,sim3,template4,0.4202,-1.938,0.8
ingv,ECPN,dir,sim3,template4,0.4334,2.127,1.2775
ingv,ECPN,dir,sim3,template4,0.4223,0.769,1.0925
ingv,ECPN,dir,sim3,template4,0.4474,1.781,1.2275
ingv,ECPN,dir,sim3,template4,0.4578,1.76,1.2247
ingv,ECPN,dir,sim4,template1,0.5839,-0.643,0.9287
ingv,ECPN,dir,sim4,template1,0.6007,0.505,1.0599
ingv,ECPN,dir,sim4,template1,0.6006,2.869,1.3914
ingv,ECPN,dir,sim4,template1,0.5663,-0.114,0.9869
ingv,ECPN,dir,sim4,template1,0.5916,2.391,1.317
ingv,ECPN,dir,sim4,template1,0.5717,1.074,1.1316
ingv,ECPN,dir,sim4,template1,0.5755,-0.308,0.9652
ingv,ECPN,dir,sim4,template1,0.5854,1.229,1.152
ingv,ECPN,dir,sim4,template1,0.563,2.034,1.2639
ingv,ECPN,dir,sim4,template1,0.5927,0.326,1.0383
ingv,ECPN,dir,sim4,template1,0.5878,9.82,3.0972
ingv,ECPN,dir,sim4,template1,0.5681,0.575,1.0684
ingv,ECPN,dir,sim4,template1,0.5869,2.268,1.2983
ingv,ECPN,dir,sim4,template1,0.6262,2.036,1.2641
ingv,ECPN,dir,sim4,template1,0.607,-2.437,0.7554
ingv,ECPN,dir,sim4,template1,0.5836,2.355,1.3115
ingv,ECPN,dir,sim4,template1,0.5693,0.452,1.0534
ingv,ECPN,dir,sim4,template1,0.6213,-1.116,0.8794
ingv,ECPN,dir,sim4,template1,0.6327,0.518,1.0615
ingv,ECPN,dir,sim4,template1,0.5976,0.773,1.0931
ingv,ECPN,dir,sim4,template1,0.5699,-1.346,0.8565
ingv,ECPN,dir,sim4,template1,0.5691,0.719,1.0863
ingv,ECPN,dir,sim4,template1,0.6039,0.617,1.0736
ingv,ECPN,dir,sim4,template1,0.6208,-1.859,0.8073
ingv,ECPN,dir,sim4,template1,0.5919,-1.064,0.8847
ingv,ECPN,dir,sim4,template1,0.5954,1.204,1.1487
ingv,ECPN,dir,sim4,template1,0.599,-0.506,0.9434
ingv,ECPN,dir,sim4,template1,0.5714,0.715,1.0857
ingv,ECPN,dir,sim4,template1,0.6247,1.457,1.1826
ingv,ECPN,dir,sim4,template1,0.5842,-1.04,0.8871
ingv,ECPN,dir,sim4,template1,0.5776,0.001,1.0001
ingv,ECPN,dir,sim4,template1,0.5739,0.204,1.0237
ingv,ECPN,dir,sim4,template2,0.6429,0.097,1.0112
ingv,ECPN,dir,sim4,template2,0.6198,1.683,1.2137
ingv,ECPN,dir,sim4,template2,0.6283,3.068,1.4236
ingv,ECPN,dir,sim4,template2,0.7061,1.477,1.1853
ingv,ECPN,dir,sim4,template3,0.5332,-4.136,0.6211
ingv,ECPN,dir,sim4,template3,0.5721,0.951,1.1158
ingv,ECPN,dir,sim4,template3,0.5415,0.907,1.1101
ingv,ECPN,dir,sim4,template3,0.5808,-0.589,0.9345
ingv,ECPN,dir,sim4,template3,0.5401,1.744,1.2223
ingv,ECPN,dir,sim4,template3,0.5791,2.635,1.3543
ingv,ECPN,dir,sim4,template3,0.5649,1.691,1.2149
ingv,ECPN,dir,sim4,template3,0.5489,1.17,1.1442
ingv,ECPN,dir,sim4,template3,0.7057,1.115,1.1369
ingv,ECPN,dir,sim4,template3,0.6119,1.465,1.1837
ingv,ECPN,dir,sim4,template3,0.5947,0.982,1.1196
ingv,ECPN,dir,sim4,template3,0.5909,-0.004,0.9995
ingv,ECPN,dir,sim4,template3,0.5566,3.004,1.4132
ingv,ECPN,dir,sim4,template3,0.6303,-0.189,0.9785
ingv,ECPN,dir,sim4,template3,0.5474,1.514,1.1904
ingv,ECPN,dir,sim4,template3,0.6051,0.052,1.006
ingv,ECPN,dir,sim4,template3,0.5441,2.798,1.3801
ingv,ECPN,dir,sim4,template3,0.5717,0.192,1.0223
ingv,ECPN,dir,sim4,template3,0.5336,1.637,1.2074
ingv,ECPN,dir,sim4,template3,0.5514,-0.242,0.9725
ingv,ECPN,dir,sim4,template3,0.5468,-0.303,0.9657
ingv,ECPN,dir,sim4,template3,0.5651,-1.112,0.8798
ingv,ECPN,dir,sim4,template3,0.5889,1.8,1.2303
ingv,ECPN,dir,sim4,template3,0.5852,1.676,1.2128
ingv,ECPN,dir,sim4,template3,0.5467,-0.95,0.8964
ingv,ECPN,dir,sim4,template3,0.5527,7.585,2.3946
ingv,ECPN,dir,sim4,template3,0.5601,10.399,3.3108
ingv,ECPN,dir,sim4,template3,0.5712,1.353,1.1686
ingv,ECPN,dir,sim4,template3,0.5585,0.151,1.0175
ingv,ECPN,dir,sim4,template3,0.6122,0.551,1.0655
ingv,ECPN,dir,sim4,template3,0.5597,3.388,1.4771
ingv,ECPN,dir,sim4,template3,0.5348,-2.036,0.791
ingv,ECPN,dir,sim4,template3,0.5483,-2.45,0.7542
ingv,ECPN,dir,sim4,template3,0.5427,1.027,1.1255
ingv,ECPN,dir,sim4,template3,0.547,0.506,1.06
ingv,ECPN,dir,sim4,template3,0.5735,1.054,1.129
